id	title	authors	year	journal	abstract	doi	pubmedId	arxivId	pdfUrl	tags	researchLineage	articleType	featured	curationStatus	sourceCV	createdAt	updatedAt
3484	Shaping the Glioblastoma Microenvironment to Enhance CAR-NK Immunotherapy	Emily Tang and Jake Y Chen*	2025	Frontiers in Immunology		10.3389/fimmu.2025.1681966				["Bioinformatics","Cancer","Immunology"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.370+00:00	2026-03-30T12:25:47.370+00:00
3485	GETgene-AI: a framework for prioritizing actionable cancer drug targets	Adrian Gu and Jake Y. Chen*	2025	Frontiers in Systems Biolology		10.3389/fsysb.2025.1649758				["Drug Discovery","AI/ML","Cancer"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.371+00:00	2026-03-30T12:25:47.371+00:00
3486	Targeting west nile virus replication by xanthine inhibitors	Theresa H. Nguyen, Jessica L. Smith, Shuklendu D. Karyakarte, John P. Tillotson, Sarah C. Sarngadharan, Fuad Al Abir, Jake Y. Chen, Sixue Zhang, Lynn Rasmussen, Robert Bostwick, Alec J. Hirsch, Corinne E. Augelli-Szafran, Ashish K. Pathak, Omar Mouhka-Chafiq	2025	Medicinal Chemistry Research		10.1007/s00044-025-03481-7				["Drug Discovery"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.372+00:00	2026-03-30T12:25:47.372+00:00
3487	International Consensus on the Use of Continuous Glucose Monitoring	Klonoff DC, Mader JK, Heinemann L, Cobelli C, Kerr D, Kovatchev B, Najafi B, Prahalad P, Zheng Y, Shao MM, Scheideman AF, DuNova AY, Espinoza J, Kohn M, Umpierrez GE, Wong TY, Abdel Malek A, Agus MSD, Ahn DT, AlSaad R, Al-Sofiani ME, Armstrong D, Arnold MA, Bee YM, Bequette BW, Bellazzi R, Cengiz E, Chase JG, Chen H, Chen JY, Cichosz SL, Cinar A, Clements MA, Close KL, Cuadros J, Contreras I, Datta G, Dhatariya K, Doyle FJ III, Drincic A, Facchinetti A, Fleming GA, Foreman J, Gabbay MAL, Gutierrez-Osuna R, Healey E, Hoang TD, Jacobs PG, Kulzer B, La Belle J, Lee AY, Lee CS, Lee WA, Liepmann D, Maahs D, Mathioudakis N, Meo SA, Metwally AA, Misra S, Mohan V, Moon SJ, Raeder H, Rhee C, Rhee EJ, Scheinker D, Shah VN, Sheng B, Snyder MP, Sode K, Spanakis EK, Svensson J, Vaswani N, Vareth M, Vehi J, Wallia A, Waki K, Wang T, Williams E Jr, Wolf RM, Wong JC, Yeshiwas S, Zilbermint M, Shah SN*	2025	Journal of Diabetes Science and Technology						["Bioinformatics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.373+00:00	2026-03-30T12:25:47.373+00:00
3488	LlamaAffinity: A Predictive Antibody Antigen Binding Model Integrating Antibody Sequences with Llama3 Backbone Architecture	Delower Hossain, Ehsan Saghapour, Kevin Song, and Jake Y. Chen*	2025	bioRxiv		10.1101/2025.05.28.653051				["AI/ML","Bioinformatics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.373+00:00	2026-03-30T12:25:47.373+00:00
3489	LLM Agent Swarm for Hypothesis-Driven Drug Discovery	Kevin Song, Andrew Trotter, Jake Y. Chen*	2025	arXiv				2504.17967		["Drug Discovery","AI/ML"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.374+00:00	2026-03-30T12:25:47.374+00:00
3490	Integrative multi-scale network simulation for precision drug repurposing with PETS	Kevin Song and Jake Y. Chen*	2025	bioRxiv		10.1101/2025.02.24.639994				["Drug Discovery","Systems Biology","Multi-omics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.375+00:00	2026-03-30T12:25:47.375+00:00
3491	GOALS: Gene Ontology Analysis with Layered Shells for Enhanced Functional Insight and Visualization	Zongliang Yue, Robert S. Welner, Christopher D. Willey, Rajesh Amin, and Jake Y. Chen*	2025	bioRxiv		10.1101/2025.04.22.650095				["Knowledge Networks","Visualization"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.376+00:00	2026-03-30T12:25:47.376+00:00
3492	KinoViz: A User-Friendly Web Application for High-Throughput Kinome Profiling Analysis and Visualization in Cancer Research	Ehsan Saghapour, JC Anderson, Jake Y. Chen, Christopher D. Willey	2025	Research Square		10.21203/rs.3.rs-6431257/v1				["Cancer","Visualization"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.376+00:00	2026-03-30T12:25:47.376+00:00
3493	Toden-E: Topology-Based and Density-Based Ensembled Clustering for the Development of Super-PAG in Functional Genomics using PAG Network and LLM	Li Q, Nichols C, Welner RS, Jake Y. Chen, Ku WS, Yue Z	2025	bioRxiv		10.1101/2024.10.20.619308				["AI/ML","Bioinformatics","Systems Biology","Multi-omics"]		Journal Article	0	VERIFIED		2026-03-30T12:25:47.377+00:00	2026-03-30T12:25:47.377+00:00
