id	title	venue	host	city	country	date	talkType	slidesUrl	videoUrl	topic	createdAt	updatedAt
2914	Embracing The New Frontier: Artificial Intelligence in Research	2025 CCTS Translational Science Symposium, Gulf Shores, AL				2025-01-01T00:00:00.000+00:00	Keynote			AI & Machine Learning	2026-03-30T12:25:47.525+00:00	2026-03-30T12:25:47.525+00:00
2915	The AI Drug Discovery Initiative at UAB	AI in Medicine and Nursing Symposium, Birmingham, AL				2024-01-01T00:00:00.000+00:00	Keynote			Drug Discovery	2026-03-30T12:25:47.525+00:00	2026-03-30T12:25:47.525+00:00
2916	Igniting the SPARC of AI-Enabled Drug Discovery	Southeast Clinical and Translational Science Alliances (CTSA) Annual Conference, Pine Mountain, GA				2024-01-01T00:00:00.000+00:00	Keynote			Drug Discovery	2026-03-30T12:25:47.526+00:00	2026-03-30T12:25:47.526+00:00
2917	Artificial Intelligence and Metal Healthcare	2023 Alabama Behavioral Healthcare Conference, Birmingham, AL				2023-01-01T00:00:00.000+00:00	Keynote			AI & Machine Learning	2026-03-30T12:25:47.526+00:00	2026-03-30T12:25:47.526+00:00
2918	AI-enabled Drug Discovery: an Outlook	31st Chinese American Association of Science and Technology Annual Conference (virtual)				2023-01-01T00:00:00.000+00:00	Keynote			Drug Discovery	2026-03-30T12:25:47.531+00:00	2026-03-30T12:25:47.531+00:00
2919	PAGER-CoV: An Online Curated Gene Signature Database Resource for Coronavirus Disease Functional Genomic Studies	19th International Workshop on Data Mining in Bioinformatics (BIOKDD), 2020 Annual ACM KDD Conference, San Diego, CA (virtual)				2020-01-01T00:00:00.000+00:00	Keynote			Multi-omics & Genomics	2026-03-30T12:25:47.532+00:00	2026-03-30T12:25:47.532+00:00
2920	Modeling Networks to Accelerate Biomedical Discoveries in Translational Medicine	2nd International Translational and Regenerative Medicine Conference, Valencia, Spain				2019-01-01T00:00:00.000+00:00	Keynote			AI & Machine Learning	2026-03-30T12:25:47.533+00:00	2026-03-30T12:25:47.533+00:00
2921	Network Biology Modeling in Translational Bioinformatics	Workshop on Knowledge Discovery and Data Mining in Bioinformatics (BIOKDD), 2018 Annual ACM KDD Conference, London, UK				2018-01-01T00:00:00.000+00:00	Keynote			Network & Systems Biology	2026-03-30T12:25:47.533+00:00	2026-03-30T12:25:47.533+00:00
2922	Unravel Complex Patterns in Omics Data with Integrative GNPA Tools	6th Annual LA Conference on Computational Biology & Bioinformatics, Baton Rouge, LA				2018-01-01T00:00:00.000+00:00	Keynote			Multi-omics & Genomics	2026-03-30T12:25:47.534+00:00	2026-03-30T12:25:47.534+00:00
2923	Modeling Drug Efficacy Using Network Pharmacology	Annual Cambridge Health Institute Molecular Medicine Tri-conference, San Francisco, CA				2012-01-01T00:00:00.000+00:00	Keynote			Drug Discovery	2026-03-30T12:25:47.534+00:00	2026-03-30T12:25:47.534+00:00
2924	Translational Bioinformatics: Power Tools for Predictive and Personalized Medicine	International Symposium on Biocomputing, Calicut, Kerala, India				2010-01-01T00:00:00.000+00:00	Keynote			Precision Medicine & Health	2026-03-30T12:25:47.535+00:00	2026-03-30T12:25:47.535+00:00
